method,n,objective_accuracy,structure_completeness,constraint_coverage,objective_term_coverage,average_runtime_sec
Best-of-K,100,0.83,0.803203571428572,0.9394444444444444,0.9133333333333334,0.10429036881192587
ReplenishVerifier-ConsensusSafe,100,0.83,0.8067105158730163,0.9444444444444444,0.9233333333333333,0.10196166803594679
ReplenishVerifier-Full,100,0.83,0.807578571428572,0.9444444444444444,0.9166666666666667,0.10677578186267056
ReplenishVerifier-FullV2,100,0.83,0.807578571428572,0.9444444444444444,0.9166666666666667,0.10677578186267056
ReplenishVerifier-HybridSafe,100,0.83,0.8067105158730163,0.9444444444444444,0.9233333333333333,0.10196166803594679
ReplenishVerifier-TypeAware-Consensus,100,0.83,0.8067105158730163,0.9444444444444444,0.9233333333333333,0.10196166803594679
