method,n,objective_accuracy_count,objective_accuracy_total,structure_complete_count,structure_complete_total,code_validity_rate,executable_rate,optimal_rate,solver_status_optimal_rate,solver_status_infeasible_rate,solver_status_timeout_rate,solver_status_error_rate,objective_accuracy,mean_relative_error,median_relative_error,mean_objective_gap,median_objective_gap,structure_completeness,inventory_balance_accuracy,constraint_coverage,objective_term_surface_coverage,objective_term_lp_coefficient_coverage,objective_term_coverage,average_runtime_sec,median_runtime_sec,average_repair_feedback_count,objective_accuracy_ci_low,objective_accuracy_ci_high,structure_completeness_ci_low,structure_completeness_ci_high,constraint_coverage_ci_low,constraint_coverage_ci_high
Best-of-K,100,0,100,0,100,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.98,,0.98,0.07334480768884533,0.07279845300945453,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consensus only,100,0,100,0,100,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.98,,0.98,0.06925850716710556,0.06892014099867083,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct,100,0,100,0,100,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.98,,0.98,0.07334480768884533,0.07279845300945453,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ReplenishVerifier-Full,100,0,100,0,100,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.98,,0.98,0.07336253229877912,0.07279845300945453,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ReplenishVerifier-TypeAware,100,0,100,0,100,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.98,,0.98,0.06925992443691939,0.06892014099867083,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ReplenishVerifier-TypeAware-Consensus,100,0,100,0,100,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.98,,0.98,0.06925992443691939,0.06892014099867083,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solver only,100,0,100,0,100,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.98,,0.98,0.06933375373715535,0.06893488400964998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Structure only,100,0,100,0,100,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.98,,0.98,0.07334480768884533,0.07279845300945453,0.0,0.0,0.0,0.0,0.0,0.0,0.0
